report,part failure
"DURING INSPECTION, THE EMERGENCY LIGHTS WERE FOUND TO BE INOPERATIVE AT ROWS THREE AND FOUR. MAINTENANCE REPLACED THE NUMBER 2 EMERGENCY LIGHT BATTERY. OPERATIONAL CHECKS FAILED. MAINTENANCE THEN REPLACED THE NUMBER 3 INVERTER. OPERATIONAL CHECKS WERE GOOD WITH NO FURTHER DEFECTS NOTED.                   ****THE FINAL CORRECTIVE ACTION IS BEING SUBMITTED AS A SUPPLEMENT TO THE ORIGINAL REPORT FILED ON 12/17/21. PART INFORMATION HAS ALSO BEEN UPDATED.",ZONE 100 FAILED
"MARCH 14, 2021: AIRCRAFT DEPARTED FROM KCRQ ON A PART 91 REPOSITION FLIGHT DESTINED FOR KSNA (BASE AIRPORT). NO ANOMALIES WERE DETECTED UNTIL GEAR RETRACTION. DURING GEAR RETRACTION CREW ALERTING SYSTEM (CAS) DISPLAYED A MESSAGE INDICATING HYDRAULIC SYSTEM A FLUID LEVEL LOW AND HYDRAULIC PUMP A FAIL. CREW FOLLOWED MANUFACTURER?S EMERGENCY CHECKLIST AND ALSO ELECTED TO DIVERT TO KLGB DUE TO LONGER RUNWAY AVAILABLE. AN EMERGENCY WAS DECLARED AND THE AIRCRAFT LANDED AT KLGB WITHOUT INCIDENT. AN INSPECTION OF THE RH MAIN GEAR RETRACT HOSE ASSEMBLY REVEALED A FAILURE OF THE FLEXIBLE HOSE. ALL 4 GEAR EXTEND/RETRACT HOSE ASSEMBLIES WERE ORIGINAL EQUIPMENT INSTALLATION (18 YEARS OLD) AND THEREFORE WE REPLACED THEM ALL.",HYD SYSTEM BURST
"PROBLEM: DURING CLIMB ON FLIGHT FROM KPSM TO KTEB, THE FLIGHT CREW REPORTED ""PROP DEICE FAIL IN FLIGHT"".  THE CREW REPORTED AN EMERGENCY AND DIVERTED TO KPSM WHERE THEY LANDED SAFELY WITHOUT INCIDENT.  RESOLUTION: THE MAINTENANCE CREW IN KPSM COMPLIED WITH THE FOLLOWING.  INSPECTED PROPELLER BRUSH BLOCK WEAR, IAW HARTZELL CMM 30-60-81, BRUSH WEAR WITHIN LIMITS.  CHECKED RESISTANCE OF THE PROP DE-ICE BOOTS, IAW HARTZEL DE-ICING SYTEMS CMM- 30-61-80.  NO DEFECTS NOTED.  FOUND THE DEICE LEAD RING TERMINALS AT BLADE NR 4 LOOSE WITH A FLUCTUATING RESISTANCE.  CLEANED AND TIGHTENED HARDWARE.  RAN AIRCRAFT AT -2*C FOR 30 MINUTES WITH NO DEFECTS NOTED.  OPERATIONS CHECKED GOOD.",PROP DEICE SYS DAMAGED
"PROBLEM: DURING CRUISE FLIGHT FROM KBED TO KTYS THE FLIGHT CREW HAD THE FOLLOWING DISCREPANCY ""LOAD SCREECHING HIGH PITCH NOISE SUDDENLY AT 22000 SOUND WENT AWAY BELOW 18000"". THE FLIGHT CREW ELECTED TO DIVERT TO KSHD WHERE ON APPROACH, ATC DECLARED AN EMERGENCY AS PRECAUTION. THE AIRCRAFT LANDED AT KSHD SAFELY WITHOUT INCIDENT.  RESOLUTION: THE AIRCRAFT WAS EXTENSIVELY INSPECTED FOR ANY DEFECTS, NONE WERE FOUND. THE AIRCRAFT PRESSURIZATION SYSTEM WAS DEFERRED IAW MEL 21-1 SO THAT IT COULD FLY TO KPSM FOR PRESSURIZATION CHECKS/EQUIPMENT  AND FURTHER TROUBLESHOOTING.  THE AIRCRAFT FLEW TO KPSM SUCCESSFULLY WITH NO PROBLEMS UN PRESSURIZED.  AT KPSM MAINTENANCE COMPLETED THE FOLLOWING,PERFORMED CABIN LEAK TEST IAW",CARGO DOOR WORN
"WHILE ENROUTE FROM KPSM TO KACK THE FLIGHT CREW HAD A ENGINE FIRE RED CAS, DIVERTED TO KHYA, THE FLIGHT CREW DECLARED AND EMERGENCY BUT LANDED WITHOUT INCIDENT. AIRPORT FIRE DEPARTMENT ARRIVED AT THE AIRCRAFT, AND FOUND NO EVIDENCE OF AN ACTUAL FIRE.  REPLACED A GASKET AND CLAMP ON A PNEUMATIC LINE IN THE ENGINE COMPARTMENT THAT WAS ADJACENT TO A PORTION OF THE FIRE WIRE SENSOR. THE HEAT BLANKET AROUND THE PNEUMATIC LINE WAS THEN RE-POSITIONED TO ENSURE IT COMPLETELY COVERED THE LINE. THE FIRE WIRE SENSOR IN THE ENGINE COMPARTMENT WAS INSPECTED TO ENSURE IT WAS NOT DAMAGED, NO DAMAGE NOTED. PERFORMED ENGINE TEST 18 IAW AMM 12-B-71-00-00-00A-903S-A. OPS CHECK GOOD. NO DEFECTS NOTED.",ENGINE BAY OUT OF POSITION
"PROBLEM: WHILE THE AIRCRAFT WAS DEPARTING AND ON CLIMB FROM KISP TO KGAI THE FLIGHT CREW REPORTED,"" STICK SHAKER ACTIVATION AFTER TAKEOFF"". THE AIRCRAFT DIVERTED BACK TO KISP AND MADE AN EMERGENCY LANDING WITHOUT INCIDENT. THE AIRCRAFT WAS ISSUED A FERRY PERMIT AND FERRIED TO KPSM WHERE REPAIRS COULD BE MADE. MAINTENANCE IN KPSM FOUND THE LH AOA TRANSMITTER TO BE FAULTY, IT WAS REMOVED AND REPLACED IAW PILATUS AMM 12-B-22-20-02-00A-920A-A.",AOA FAULTY
"DURING CRUISE FLIGHT FROM KILG TO KBGR, THE FLIGHT CREW REPORTED "" AMBER FIRE DETECTOR CAS IN FLIGHT, DID NOT CLEAR"". THEY DECLARED AN EMERGENCY AND DIVERTED TO KBDL LANDING SAFELY WITHOUT INCIDENT. NO ACTUAL FIRE WAS OBSERVED. CONTRACT MAINTENANCE WAS CALLED TO THE AIRCRAFT. THEY DISCOVERED THE ENGINE FIRE WIRE WAS FAULTY, IT WAS REMOVED AND REPLACED IAW AMM 12-B-26-10-01-00A-920A-A, OPS CHECK GOOD NO DEFECTS FOUND.",ENGINE COMPART FAULTY
CLIMB-OUT SEEMED TO ACCELERATE SLOW.  VERIFIED GEAR AND FLAPS UP.  ACCELERATED TO 150 - SET SPEED HOLD.  VS WAS ABOUT 1800 FPM - I PERCEIVED IT AS LOW.  CLIMBED TO 15000'.  CLIMB RATE WAS DOWN TO LESS THAN 1000 FPM.  BY FL200 I WAS SLOWED TO 130 TO MAINTAIN 500 FPM.  PASSING 15000 I REALIZED SOMETHING WAS REALLY OFF.  HIGH ITT / LOW TORQUE - 780C /25 PSI.  STOPPED CLIMB AT 22000'.  AT THIS POINT I ASKED FOR FLL AND BEGAN PLANNING FOR THE DIVERSION.  I DID NOT OBSERVE THE PROP RPM.  FUEL FLOW 'SEEMED' OK BUT NO CLEAR RECOLLECTION.  DESCENT WAS AN INCREASE IN TORQUE AND REDUCTION IN ITT.  THE APPROACH AIRPLANE WAS FAST AND ALMOST A COMPLETE REDUCTION IN POWER DIDN'T RALLY SLOW THE AIRPLANE.  GEAR DOWN/FLAPS 15/FL,ZONE 200 POWER LOSS
"AIRBORNE/PEMCO NON-ROUTINE 10830.0307 DISCREPANCY: #1 ENG. O/B CORE COWL, INTERNAL FWD. LOWER CORNER HAS DAMAGE.  CORRECTIVE ACTION: ACCOMPLISHED REPAIR ON #1 ENGINE O/B CORE COWL, FIRESHIELD AT NAC STA 258.42 IAW ENGINEERING AUTHORIZAION PD 57-54-022 AND FAA FORM 8110-3 #21084-1",NR 1 NACELLE DAMAGED
FLUCTUATION OF INDICATED ENGINE OIL PRESSURE CAUSED BY FAILING OIL PRESSURE TRANSDUCER.  OIL PRESSURE TRANSDUCER WAS CHANGED WITH A NEW TRANSDUCER AND ISSUE WAS RESOLVED.  TRANSDUCER PN 12635-004.,OIL PRESSURE INTERMITTENT
"ON FINAL AND CLEARED TO LAND WE RAN THE BEFORE LANDING CHECKLIST. WHEN WE PUT THE GEAR HANDLE DOWN WE ONLY GOT 2 GREEN LIGHT INSTEAD OF THREE. THE RIGHT MAIN GEAR LIGHT DID NOT COME ON. WITH PLENTY OF DISTANCE AND TIME, WE RECYCLED THE LANDING GEAR AND AGAIN ONLY HAD THE 2 GREEN LIGHTS. AT THAT POINT WE CALLED THE TOWER AND LET THEM KNOW WE HAD A PROBLEM.THEY SAID WE COULD DO A FLY BY AT THE TOWER SO THEY COULD VISUALLY SEE IF WE HAD ALL THREE GEAR DOWN. THEY SAID ALL THREE LANDING GEAR APPEARED TO BE DOWN. WE CHECKED THE ROTARY TO TO CONFIRM THE GEAR LIGHTS. THE RIGHT MAIN GEAR LIGHT STILL DIDN?T COME ON. AT THAT POINT WE PULLED OUT THE LANDING GEAR WILL NOT EXTEND CHECK LIST. ?H1?. AFTER WE COMPLETED THE CH",MLG INDICATOR BURNED OUT
"AIRCRAFT CABIN HEAT P2 OVHT LIGHT IN FLIGHT.  PILOT DEACTIVEATED SYSTEM AND CONTINUED FLIGHT, PER RFM.  REPLACE DEFECTIVE THERMAL SWITCH P/N 704A32135018 AND RETURNED AIRCRAFT TO SERVICE.",CABIN HEAT FAILED
"SHORTLY AFTER DEPARTING THE HELIPAD  NOTED THAT THE BATTERY AND INSTRUMENT LIGHT WARNING LIGHTS WERE ILLUMINATED ON THE CAUTION, AND ADVISORY PANEL.  THE CREW AND I ELECTED TO RETURN TO THE PAD AT CODY REGIONAL HEALTH TO TRANSFER THE PATIENT BACK TO THE HOSPITAL.  NO ADDITIONAL ABNORMALITIES OCCURRED THROUGHOUT THE FLIGHT WHICH LASTED FOR APPROXIMATELY 10 MINUTES FROM TAKE-OFF TO LANDING BACK AT THE PAD.  REMOVED DEFECTIVE RELAY AND INSTALLED NEW RELAY I/A/W AIRBUS STANDARD PRATICE MANUAL MTC CHAPTER 20.  OPERATIONAL CHECK GOOD.",ZONE 100 INOPERATIVE
EXTERNAL FUSELAGE RH SIDE STA X202 STR 21S SKIN NICKED REPAIRED RD8-53-4940,BS 202 S21R DAMAGED
"DAMAGE ON THE RH FUSE FWD OF THE RH EMERGENCY EXIT 1"" AVOVE 23 FWD STA X201 REPAIRED RD8-53-17031",BS 201 S23R DAMAGED
FIRST OFFICERS WINDSHIELD CRACKED,FIRST OFFICER'S CRACKED
"DENT IN FUSELAGE SKIN 85330131 BETWEEN F.S. X580.5 AND X600.0, STRS 23S AND 24S. DENT DIMENSIONS ARE 3.0""X1.75""X0.075"".",FUSELAGE DENTED
"R ELEV HORN HEAT CAUTION LIGHT ILLUMINATED IN FLIGHT (SMELLED HOT ELECTRICAL SMELL IN FLIGHT DECK AND CABIN, STRONGEST IN WARDROBE, NO SMOKE)",COCKPIT FAILED
MULTIPLE DENTS ON FORE RUDDER. REPAIRED IAW RD 8-55-3616,RUDDER DENTED
"NICK ON R/H EMERGENCY EXIT DOOR TYPE 2, 2.50"" FROM FWD EDGE AND 25.00"" FROM LOWER EDGE. REPAIRED IAW ECO 008.52-21.01. NO ICA",EMERGENCY EXIT GOUGED
"R/H FUSELAGE, DENT FOUND ABOVE STR 23S AND FWD OF FR STA X 202.75. REPAIRED BY INSTALLING EXTERNAL PATCH IAW ECO 008.53-21.03",BS 202 S23R DENTED
AT STATION X182 AT W/L Z100 ANGLE FLOOR SUPPORT FOUND CORRODED REPLACED ANGLE SRM 51-4205,BS 182 CORRODED
CORROSION FOUND OUT OF LIMITS ON LH INBD SEAT TRACK STA 564.5 - 597 REPAIRED RD8-53-1599,BS 564-597 CORRODED
PERMANENT REPAIR FOR DENT RH FUSE 85310016 X182 -X201 STR 20S. REPAIRED RD8-53-16442,BS 201 S20R DENTED
PASSENGER DOOR SHELL FWD AND AFT SIDE EDGES HAVE CORROSION REPAIRED IAW SRM 51-42-05.,PAX DOOR CORRODED
TRAILING RUDDER STATIC DISCHAGER BASE #2 RH IS LOOSE REPAIRED RD8-55-509,RUDDER DAMAGED
"UNDERFLOOR CABIN PAX DOOR THRESHOLD CORROSION FOUND, REPAIRED SRM 51-42-05",PAX DOOR CORRODED
RH EXT SKIN EDGE OF Y12 AND X115 RIVET LOOSE REPAIRED WITH RD 8-53-5099,FUSELAGE DAMAGED
STA X255 BELOW SERVICE DOOR LOWER CUT OUT FLOOR BEAM CRACKED REPAIRED SRM 51-42-05,CABIN CRACKED
STA X243 FWD EMERGENCY DOOR CUT OUT EDGE X2 CLEETS AND THRESHOLD PLATE CORREODED. REPAIRED SRM 51-42-05,EMERGENCY EXIT CORRODED
GROUND DAMAGE TO AIRSTAIR DOOR SKIN. PN 85210003-001. ACCEPTABLE ALLOWANCE FOR 300 HRS UNTIL PERMANENT REPAIR IS REQUIRED. IAW ECO 008.52-21.03,ZONE 800 DENTED
"DURING A FLIGHT LJ-1456 EXPERIENCED A POSSIBLE RIGHT-HAND LANDING GEAR DOWN LOCK ISSUE, AFTER LANDING A DETAILED WAS COMPLETED AND THE DOWN LOCK CLEVIS P/N: 90-810046-3 WAS MISSING FROM THE AIRCRAFT.",MLG DOOR MISSING
"PILOT WRITE-UP; ""IN CRUISE ""CABIN ALTITUDE"" LIGHT ILLUMINATED.""  AFTER THE FLIGHT CREW NOTED THIS ISSUE, THEY CONTACTED ATC, DECLARED AN EMERGENCY, AND ACCOMPLISHED AN ATB TO KELP FROM WHICH THEY DEPARTED.  THE CREW ALSO WROTE UP THAT ON THE BLEED OFF TAKE-OFF, A RT BLEED TRIP LIGHT ILLUMINATED.  MX WAS FLOWN INTO KELP FROM KTOL (WHERE OUR MAIN MX BASE IS LOCATED) TO FIX THE ISSUE.  THE RIGHT RT ENGINE HIGH STAGE BLEED VALVE WAS FOUND TO BE STUCK PARTIALLY OPEN AND WAS REPLACED IAW THE AMM.  THIS STUCK VALVE WAS THE SOURCE OF THE BLEED TRIP LIGHT DUE TO THE 180 PSI SWITCH IN THE BLEED AIR REGULATOR BEING ACTUATED BY THE 9TH STAGE AIR AT T.O. POWER.  THE PRESSURIZATION SYSTEM WAS INSPECTED PER THE AMM WITH NO DE",RT ENGINE STICKING
AFT FUSELAGE RIB P/N 500-06193-001 WAS FOUND CRACKED THROUGH DURING A 120 MONTH INSPECTION ITEM Z320-002 TASK CODE 05-43-00-210-804-A/600.,AFT FUSELAGE CRACKED
"TOWER REPORTED VAPOR COMING FROM RIGHT WING O/B OF AILERON, STOPPED VENTING SECONDS LATER. NO REPORTED LOSS ON FUEL GAUGES. UPON ARRIVAL, THE FUEL VENT VALVE WAS FOUND TO BE TORN. VENT VALVE WAS REPLACED WITH NO FURTHER PROBLEMS.",RT WING TORN
"DURING TAKEOFF THE PILOT FELT A HEAVY VIBRATION, THE KAPA TOWER WAS NOTIFIED, AN EMERGENCY DECLARED, A FLY OVER DEEMED THE TIRE STILL ATTACHED AND INFLATED. THE AIRCRAFT LANDED WITHOUT INCIDENT AND TAXIED TO MAINTENANCE. UPON INSPECTION THE TREAD OF THE LEFT MAIN TIRE WAS MISSING BUT PROPERLY INFLATED. THE AIRCRAFT SUSTAINED MINOR DAMAGE TO THE LOWER FLAP. THE WHEEL AND TIRE WAS REPLACED WITH A REPAIRED/NEW UNIT AND DEPARTED UNDER A SPECIAL FLIGHT PERMIT FOR FLAP REPAIRS.",LT MLG DEBONDED
"AIRCRAFT RELEASED PARKING BRAKE TO TAXI ONTO RUNWAY. AIRCRAFT NEEDED MORE POWER THAN USUAL TO START TAXI. HALFWAY THROUGH TURN ONTO RUNWAY, LOUD BANG WAS HEARD BY CREW, THEN AIRCRAFT ROLLED EASIER. CREW REQUESTED TAXI FROM ACTIVE, THEN RETURN TO RAMP. AFTER SHUTDOWN, THE RIGHT MAIN INBOARD TIRE WAS FOUND BLOWN, AND THE RIGHT INBOARD BRAKE LINE WAS DISCONNECTED FROM THE BRAKE BODY AT THE QUICK DISCONNECT. IT WAS DETERMINED THAT THE BRAKE LINE QUICK DISCONNECT FAILED AND POPPED OFF WHEN THE PARKING BRAKE WAS SET, CAUSING THE BRAKE TO LOCK WITH NO MEANS TO UNLOCK.",BRAKE LINE DISCONNECTED
SUSPECTED CRACK IN PROPELLER DRIVE FLANGE CAUSING FLUID LOSS.,PROP-ENG LEAKING
"WE HAD JUST COMPLETING OEI TRAINING WITH THE TRAINING MODE ON THE NUMBER ONE ENGINE.  AFTER COMPLETING OUR OEI TRAINING, ROGER PLACED THE TRAINING MODE BACK TO CENTER POSITION AND ALL INDICATIONS ON THE NUMBER ONE ENGINE WERE NORMAL. I PLACE THE RPM SWITCH BACK TO 102% AND PREPARED FOR TAKEOFF.  AFTER TAKEOFF AT ABOUT 500? AND ABOUT 70 KNOTS WE STARTED TO NOTICE A FUEL SMELL AND WITHIN A FEW SECONDS WE GOT INDICATIONS OF A NUMBER ONE ENGINE FAILURE.  WE BRIEFLY TRIED TO DIAGNOSE THE PROBLEM WHILE I TURNED BACK TOWARDS THE AIRFIELD FOR A LANDING.  WE BOTH CONFIRMED THAT THE TRAINING SWITCH HAD NOT BEEN MOVED SO I CONTINUED BACK TO THE AIRPORT AND LANDED RUNWAY 12.  WE PERFORMED A ROLL ON LANDING AND CONTINUED TO",#1 ENGINE BOTTOM LOOSE
DURING ROUTINE MAINTENANCE IT WAS DISCOVERED THAT FRETTING WAS OCCURRING BETWEEN THE RING GEAR CASE AND THE UPPER CASE OF MAIN GEAR BOX.  C/W TORQUE CHECK OF STUDS AND FOUND NUTS HAVE LOST TORQUE.,TRANSMISSION LOOSE
THE FLIGHT CREW REPORTED OF RECEIVING A LEFT ENGINE CONTROL FAULT MESSAGE. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED A FAULTY LEFT ENGINE SHUTOFF SWITCH. THE DEFECTIVE SWITCH WAS REMOVED AND A NEW SWITCH WAS INSTALLED. OPS CHECKS WERE GOOD AND FAULT MASSAGE CLEARED. THE AIRCRAFT WAS THEN RETURNED TO SERVICE.,ENGINE SHUTOFF DEFECTIVE
"THE FLIGHT CREW REPORTED THAT AFTER LANDING AN ANTI-SKID FAIL CAS MESSAGE WAS DISPLAYED. THE MAINTENANCE TEAM DETERMINED THAT THE RIGHT HAND OTBD MAIN LANDING GEAR WIRING HARNESS WAS DEFECTIVE. THE HARNESS WAS REPLACED WITH A NEW UNIT. OPS CHECKS GOOD, NO DEFECTS NOTED. THE AIRCRAFT WAS RETURNED TO SERVICE",ANTI-SKID SYS DEFECTIVE
THE FLIGHT CREW REPORTED THAT THE LOWER CABIN DOOR RETRACT CABLE FRAYED AND WOULDN'T RETRACT.  THE MAINTENANCE VENDOR REPLACED THE RETRACT CABLE WITH A NEW CABLE.  OPERATIONS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,CABIN DOOR FRAYED
THE FLIGHT CREW REPORTED THAT THEY HAD A LEFT HIGH PRESSURE BLEED AIR VALVE FAIL INDICATION.  THIS CAUSED A LEFT ENGINE ANTI-ICE COLD INDICATION.  THE MAINTENANCE VENDOR DETERMINED THAT THE LEFT HP VALVE WAS DEFECTIVE AND REPLACED THE UNIT WITH AN OVERHAULED UNIT.  OPERATIONS CHECKS SATISFACTORY.  THE AIRCRAFT WAS RETURNED TO SERVICE.,LEFT FAILED
THE FLIGHT CREW REPORTED THAT IN FLIGHT THE EMERGENCY PRESSURE VALVE ACTIVATED INTERMITTENTLY.  THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THAT THE AIR CYCLE MACHINE OVER TEMP SWITCH WAS FAULTY.  THE VENDOR REMOVED THE DEFECTIVE SWITCH WITH A NEW SWITCH.  OPERATIONS CHECKS WERE SATISFACTORY.  THE AIRCRAFT THEN WAS RETURNED TO SERVICE.,OVERTEMP FAULTY
THE FLIGHT CREW REPORTED THAT WHEN DEBARKING THE AIRCRAFT THE UPPER MAIN CABIN DOOR SPRING LINKAGE FAILED CAUSING THE UPPER DOOR TO FALL ON THE CREW MEMBERS HEAD.  THE MAINTENANCE TEAM TIGHTENED THE DOOR LINKAGE HARDWARE ON THE UPPER DOOR.  OPERATIONS CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,PAX DOOR UNSECURE
THE FLIGHT CREW REPORTED THAT THE LEFT ENGINE LOW FUEL PRESSURE ANNUNCIATOR FLICKERED AND ILLUMINATED.  THE FLIGHT CREW TURNED THE FUEL BOOST PUMP TO THE ON POSITION FROM THE NORMAL POSITION.  THE MAINTENANCE TEAM REMOVED THE LEFT ENGINE FUEL PRESSURE SWITCH WITH A NEW SWITCH.  PERFORMED OPERATIONAL CHECKS WITH NO DEFECTS WERE NOTED.  THE AIRCRAFT WAS RETURNED TO SERVICE.,FUEL SYSTEM FAULTY
"THE FLIGHT CREW REPORTED IN FLIGHT THAT THE LEFT SIDE COLD AMBER ANTI-ICE INDICATION WITH ALL ANTI-ICE ON INFLIGHT.  THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THE LEFT HIGH PRESSURE SHUTOFF VALVE WAS DEFECTIVE.  THE PROSV VALVE WAS REPLACED WITH A INSPECTED PRSOV.  LEAK AND OPERATIONS CHECKS, SATISFACTORY.  THE AIRCRAFT WAS RETURNED TO SERVICE.",HIGH PRESSURE DEFECTIVE
"DURING PREFLIGHT CHECKS THE MAINTENANCE TEAM DISCOVERED ELEVATOR SKIN DAMAGE NEAR THE MIDDLE HINGE ON THE BOTTOM SIDE.  INVESTIGATION DETERMINED THAT THIS DAMAGE WAS CAUSED WHEN A MAINTENANCE VENDOR COMPLETING INSPECTION CHECKS ON THE HORIZONAL STAB, INSTALLED THE ELEVATOR IN A CARELESS MANNER.  THE MAINTENANCE VENDOR BLENDED OUT DAMAGE NEAR THE MIDDLE HINGE ON BOTTOM SIDE OF ELEVATOR.  ETCHED, ANODIZED, PRIMED AND PAINTED AFFECTED AREA.  ALL WORK DONE IN COMPLIANCE WITH THE HBC BEECHJET 400A SRM CH 55-00-03.  EDDY CURRENT CHECKS WERE PERFORMED AFTER REPAIRS, NO CRACKS FOUND.  AIRCRAFT WAS RETURNED TO SERVICE.",ELEVATOR DAMAGED
"THE FLIGHT CREW REPORTED THAT THE PRIMARY PITCH TRIM FAILED IN FLIGHT LEVELING AT FLIGHT LEVEL 400.  THEY INDICATED THAT THEY RECEIVED A PITCH TRIM FAIL CAS MESSAGE.  THE MAINTENANCE VENDOR PERFORMED A SWAP OF THE FCE NO 1 AND NO 2 AS REQUIRED BY THE FIM TASK 27-41-00-810-803-A.  FAILURE OF COMMUNICATION BETWEEN FCE 2 AND PITCH TRIM ACTUATOR.  THE AIRCRAFT WAS POWERED DOWN AND POWERED UP AFTER THE RIGGING.  HS PITCH TRIM FUNCTIONAL CHECK WAS COMPLETED NUMEROUS TIMES, OPERATIONS CHECKS GOOD.  NO FURTHER CAS MESSAGE RECEIVED.  PITCH INDICATED PROPERLY.  PITCH TRIM NORMAL AND BACK UP WERE CONFIRMED TO OPERATIONS CHECK GOOD.  EMBRAER WAS NOTIFIED OF FINDINGS AND ADVISED TO RELEASE WITH FCE'S REMAINED IN THE SWAPPED",PITCH FAILED
"THE FLIGHT CREW REPORTED THAT DURING FLIGHT RECEIVING A CAS MESSAGES ""FAULT CODE"" AND ""DEGRADED GAUGING"" WERE DISPLAYED.  THE MAINTENANCE TEAM TROUBLESHOT AND VERIFIED THE DISCREPANCY.  THE LEFT OUTBOARD WING TANK GAUGE (L40QJ) WAS REMOVED AND REPLACED WITH A NEW GAUGE.  FUNCTIONAL AND LEAK CHECKS WERE SATISFACTORY.  THE AIRCRAFT WAS RETURNED TO SERVICE.",FUEL QUANTITY DEFECTIVE
THE FLIGHT CREW INDICATED DURING THE PREFLIGHT CHECKLIST THAT THE RUDDER BIAS SYSTEM FELT VERY WEAK DURING OPERATIONS.  THE MAINTENANCE VENDOR VERIFIED THE DISCREPANCY AND REPLACED THE RUDDER BIAS ACTUATOR WITH AN OVERHAULED UNIT.  OPERATIONAL CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,RUDDER WEAK
THE FLIGHT CREW REPORTED THAT THE FLAP HANDLE DOES NOT AGREE WITH THE FLAP POSITION INDICATOR.  THE MAINTENANCE TEAM TROUBLESHOT AND FOUND THE FLAP POSITION INDICATOR WAS DEFECTIVE.  THE POSITION INDICATOR WAS REMOVED AND REPLACED WITH AN OVERHAULED UNIT.  OPERATIONS CHECKS WERE SATISFACTORY AND THE AIRCRAFT WAS RETURNED TO SERVICE.,FLAP POSITION DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING FLIGHT THE LEFT LOW FUEL PRESSURE ANNUNCIATOR FLICKERED NUMEROUS TIMES IN FLIGHT.  EVENTUALLY CAUSING THE LEFT FUEL BOOST ANNUNCIATOR TO ILLUMINATE.  THE MAINTENANCE VENDOR TROUBLESHOT AND DISCOVERED THE WIRE TPD010-BPD011 WITH AN UNSECURED CLAMP AND CHAFING AGAINST A BRACKET.  REPAIRED WIRE IAW THE 560XL MM 73-30-02.  OPERATIONAL CHECKS SATISFACTORY.  THE AIRCRAFT WAS RETURNED TO SERVICE.,FUEL INDICATION CHAFED
"THE FLIGHT CREW REPORTED THAT IN FLIGHT FL280 THE AUTOPILOT STARTED AN UNCOMMANDED CLIMB, 300' WHEN CREW CORRECTED.  IN THE DESCENT IN VNAV AS IT WAS LEVELING IN AGAIN INITIATED AN UNCOMMANDED CLIMB 500' GAIN BEFORE BEING CORRECTED.  THE MAINTENANCE VENDOR TROUBLESHOT AND VERIFIED THE FAULT.  THE INTERMITTENT NR 2 ADC WAS REMOVED AND REPLACED WITH A TESTED ADC.  PERFORMED AUTOPILOT ADJUSTMENT TEST AND NO DEFECTS FOUND.  THE AIRCRAFT WAS RETURNED TO SERVICE.",NR 2 INTERMITTENT
THE FLIGHT CREW REPORTED AN AUTOTAIL TANK TRANSFER INHIBITED CAS MESSAGE ILLUMINATED.  AN OVERHEAD PANEL AMBER LIGHT ASSOCIATED AS WELL.  THE MAINTENANCE VENDOR TROUBLESHOT AND FOUND THE TANK TRANSFER LINE AT 0 PSI. THE ROTO BURST SWITCH AND CHARGE VALVE WAS REPLACED.  OPERATIONAL AND LEAK CHECKS WERE SATISFACTORY.  THE AIRCRAFT WAS RETURNED TO SERVICE.,FUEL SYSTEM INOPERATIVE
THE FLIGHT CREW REPORTED THAT THE MAIN ENTRY DOOR STEP LINK BROKE DURING USE. THE MAINTENANCE TEAM REPLACED THE STEP LINK WITH A NEW CONDITION LINK. THE AIRCRAFT WAS RETURNED TO SERVICE. THIS IS A VERY COMMON PROBLEM WITH THE BEECHJET AND COULD CAUSE HARM IF STEP FAILS WITH PERSON ON IT.,PAX DOOR STEP BROKEN
THE FLIGHT CREW REPORTED THAT THE LANDING GEAR WARNING HORN WOULD NOT TEST ON ROTARY CHECK. THE MAINTENANCE VENDOR TROUBLESHOT AND DETERMINED THAT THE ROTARY TEST SWITCH WAS DEFECTIVE. THE SWITCH WAS REPLACED WITH A NEW UNIT. OPERATIONAL CHECKS WERE SATISFACTORY. THE AIRCRAFT WAS RETURNED TO SERVICE.,MLG DEFECTIVE
THE FLIGHT CREW REPORTED THAT DURING PREFLIGHT CHECKS THE RIGHT WING BLEED CHECK FAILED DURING THE ROTARY TEST. THE MAINTENANCE VENDOR DETERMINED THAT THE RIGHT WING BLEED LEAK DETECTOR UNIT FAILED. THE DETECTOR UNIT WAS REMOVED AND REPLACED WITH NEW. OPS CHECKS GOOD AT THIS TIME. THE AIRCRAFT WAS RETURNED TO SERVICE.,BLEED LEAK FAILED
"THE FLIGHT CREW REPORTED THAT IN FLIGHT THE ""TAIL TANK HEAVY AND TAIL XFER SHUTOFF VALVE CLOSED"" ANNUNCIATOR ILLUMINATED. THE MAINTENANCE VENDOR TROUBLESHOT COMPLETED TROUBLESHOOTING AND DETERMINED THAT THE FUEL COMPUTER P/N 736847-4 S/N 0247 WAS FAULTY. THE MAINTENANCE VENDOR REMOVED THE COMPUTER AND REPLACED WITH A REPAIRED UNIT. FUNCTIONAL CHECKS SATISFACTORY.",FUEL SYSTEM FAULTED
